SampleID,Group,Genus_Species,Temperature,Ala,Gly,Thr,Ser,Val,Leu,Ile,Pro,Asx,Glx,Phe,Tyr,Lys
X31.3,Raphidophyte,Fibrocapsa japonica,25,-16,-12,-9.9,-8.8,-21.6,-28.7,-16.6,-18.4,-12.1,-17,-28.9,0,-12
X30.1,Raphidophyte,Heterosigma akashiwo,25,-11.9,-5.9,-5.5,-5.8,-15.2,-20.8,-10,-11,-8.1,-14.3,-23.2,0,-9.4
X30.2,Raphidophyte,Heterosigma akashiwo,25,-12,-7.6,-6.1,-5.5,-15.6,-21.3,-10.9,-12.4,-8,-15.1,-22.9,0,-10.1
X30.3,Raphidophyte,Heterosigma akashiwo,25,-11.7,-9,-6.7,-4.8,-17.1,-21.3,-10.9,-12.7,-8.1,-15.2,-22.9,0,-10.6
X35.1,Raphidophyte,Heterosigma akashiwo,20,-9.3,-4.9,-4.2,-2.9,-15.4,-20.3,-9,-12.6,-6.3,-11.3,-22.5,0,-11.6
X35.2,Raphidophyte,Heterosigma akashiwo,20,-9.5,-3.7,-4.6,-1.4,-15.7,-20.3,-9.4,-12.7,-7.1,-12,-22.6,0,-9.7
X35.3,Raphidophyte,Heterosigma akashiwo,20,-10.1,-5,-5.4,-3.6,-15.8,-20.1,-9.8,-13.3,-8.9,-13.7,-21.9,0,-9.9
X45.1,Raphidophyte,Heterosigma akashiwo,15,-10.4,-5.5,-7.6,-3.8,-18.5,-22.4,-13.5,-12.2,-8.1,-13,-24.7,0,-11.7
X45.2,Raphidophyte,Heterosigma akashiwo,15,-10.2,-5.7,-7.6,-3.8,-18.9,-22.5,-13.3,-12.8,-9,-13.1,-25.1,0,-12.6
X45.3,Raphidophyte,Heterosigma akashiwo,15,-9.3,-5.2,-8.5,-3.7,-19.6,-23.2,-12.8,-13.7,-8,-13.9,-25.9,0,-12.6
X34.1,Raphidophyte,Viridilobus marinus,25,-14.9,-11.5,-12,-9.1,-19,-24.7,-14.5,-17.5,-13.4,-16.7,-26.1,0,-17.1
X34.2,Raphidophyte,Viridilobus marinus,25,-14.7,-12.9,-11.1,-10,-20.2,-24.6,-15.8,-17,-11.3,-16.8,-26.1,0,-12.5
X34.3,Raphidophyte,Viridilobus marinus,25,-15.1,-12.5,-10.5,-11.7,-19.5,-24.8,-17.5,-18.3,-12.1,-15.8,-26.4,0,-14.1
